Block,Value,Token Name,Additional Value,Highlight Target,Public Tag,Age,Transaction Type
20072343,9990.939457432143,USDe,Remove Liquidity Single Token,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xf081470f...409DcdD67,2024-06-12 1:03:35,OUT
20072052,79910.29262111908,USDe,Remove_liquidity_one_coin,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xa5016774...e1E3b9355,2024-06-12 0:04:47,OUT
20071780,279226.22295446415,Curve.Fi USD...,0x2bb0a0b8,0xf55b0f6f2da5ffddb104b58a60f2862745960442,jaredfromsubway: MEV Bot,2024-06-11 23:10:23,OUT
20071780,278920.96396987594,USDe,0x2bb0a0b8,0xf55b0f6f2da5ffddb104b58a60f2862745960442,jaredfromsubway: MEV Bot,2024-06-11 23:10:23,IN
20071739,200065.55570437663,Curve.Fi USD...,Swap,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xE37e799D...71457BD09,2024-06-11 23:02:11,OUT
20071735,489422.6963321072,Curve.Fi USD...,0x2bb0f939,0xf55b0f6f2da5ffddb104b58a60f2862745960442,jaredfromsubway: MEV Bot,2024-06-11 23:01:23,OUT
20071735,488571.6595619496,USDe,0x2bb0f939,0xf55b0f6f2da5ffddb104b58a60f2862745960442,jaredfromsubway: MEV Bot,2024-06-11 23:01:23,IN
20071494,995000000,Quil Swap,Execute,0xf55b0f6f2da5ffddb104b58a60f2862745960442,Uniswap V2: QUIL 2,2024-06-11 22:13:11,IN
20070303,19371.43787803906,USDe,Swap Compact,0xf55b0f6f2da5ffddb104b58a60f2862745960442,Odos: Router V2,2024-06-11 18:13:23,OUT
20070076,124828.23598581724,USDe,Exec Transaction,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xb2F72662...5b6adcaBB,2024-06-11 17:27:59,OUT
20069454,300300.1311187753,Curve.Fi USD...,Swap,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xE37e799D...71457BD09,2024-06-11 15:22:47,OUT
20069449,228374.23345072076,USDe,0x2b784356,0xf55b0f6f2da5ffddb104b58a60f2862745960442,Uniswap V3: USDe-USDT 2,2024-06-11 15:21:47,OUT
20069449,228903.63353867843,Curve.Fi USD...,0x2b784356,0xf55b0f6f2da5ffddb104b58a60f2862745960442,jaredfromsubway: MEV Bot,2024-06-11 15:21:47,IN
20069290,27350.65161306713,USDe,Swap Exact Pt For Token,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xf081470f...409DcdD67,2024-06-11 14:49:47,OUT
20069007,184237.08753820456,Curve.Fi USD...,0x2bd0a0b8,0xf55b0f6f2da5ffddb104b58a60f2862745960442,jaredfromsubway: MEV Bot,2024-06-11 13:53:11,OUT
20069007,183862.53159037093,USDe,0x2bd0a0b8,0xf55b0f6f2da5ffddb104b58a60f2862745960442,jaredfromsubway: MEV Bot,2024-06-11 13:53:11,IN
20068855,37981.37894142796,USDe,Swap Exact Token For Pt,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xf081470f...409DcdD67,2024-06-11 13:22:47,OUT
20068826,119362.15675703301,USDe,0x2bb0a0b8,0xf55b0f6f2da5ffddb104b58a60f2862745960442,jaredfromsubway: MEV Bot,2024-06-11 13:16:59,OUT
20068826,119629.81805600948,Curve.Fi USD...,0x2bb0a0b8,0xf55b0f6f2da5ffddb104b58a60f2862745960442,jaredfromsubway: MEV Bot,2024-06-11 13:16:59,IN
20068816,134669.75882062453,USDe,0x091cb141,0xf55b0f6f2da5ffddb104b58a60f2862745960442,jaredfromsubway: MEV Bot,2024-06-11 13:14:59,OUT
20068816,134949.46521045617,Curve.Fi USD...,0x091cb141,0xf55b0f6f2da5ffddb104b58a60f2862745960442,jaredfromsubway: MEV Bot,2024-06-11 13:14:59,IN
20068807,129671.0127584473,USDe,0xc7227108,0xf55b0f6f2da5ffddb104b58a60f2862745960442,Uniswap V3: USDe-USDT 2,2024-06-11 13:13:11,OUT
20068807,129919.07304502824,Curve.Fi USD...,0xc7227108,0xf55b0f6f2da5ffddb104b58a60f2862745960442,MEV Bot: 0x000...e49,2024-06-11 13:13:11,IN
20068431,49928.21718707297,USDe,Mooo Z1089603480,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xb2F72662...5b6adcaBB,2024-06-11 11:57:47,OUT
20067745,52813.342101323804,USDe,Mooo Z1089603480,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xb2F72662...5b6adcaBB,2024-06-11 9:39:11,OUT
20066958,48914.59702135702,USDe,Swap,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xE37e799D...71457BD09,2024-06-11 7:00:59,OUT
20066908,17934.40619960872,USDe,Mega Swap,0xf55b0f6f2da5ffddb104b58a60f2862745960442,Paraswap v5: Augustus Swapper Mainnet,2024-06-11 6:50:59,OUT
20066908,17964,Curve.Fi USD...,Mega Swap,0xf55b0f6f2da5ffddb104b58a60f2862745960442,Paraswap v5: Augustus Swapper Mainnet,2024-06-11 6:50:59,IN
20066884,2397568560.3110003,BIAO2.0,Execute,0xf55b0f6f2da5ffddb104b58a60f2862745960442,Uniswap V2: BIAO2.0 7,2024-06-11 6:46:11,IN
20066384,108022.6231961709,USDe,Mega Swap,0xf55b0f6f2da5ffddb104b58a60f2862745960442,Paraswap v5: Augustus Swapper Mainnet,2024-06-11 5:05:23,OUT
20066384,108193.33365450689,Curve.Fi USD...,Mega Swap,0xf55b0f6f2da5ffddb104b58a60f2862745960442,Paraswap v5: Augustus Swapper Mainnet,2024-06-11 5:05:23,IN
20066342,50710.62397013444,USDe,Swap Exact Pt For Token,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xf081470f...409DcdD67,2024-06-11 4:56:59,OUT
20066270,39537.22667787432,Curve.Fi USD...,Exec,0xf55b0f6f2da5ffddb104b58a60f2862745960442,MEV Bot: 0x3fa...fb6,2024-06-11 4:42:23,OUT
20066270,39486.62660588335,USDe,Exec,0xf55b0f6f2da5ffddb104b58a60f2862745960442,MEV Bot: 0x3fa...fb6,2024-06-11 4:42:23,IN
20066223,204151.90455563326,Curve.Fi USD...,Mint Py From Token,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xf081470f...409DcdD67,2024-06-11 4:32:47,OUT
20066184,29793.108557647178,Curve.Fi USD...,Mooo Z1089603480,0xf55b0f6f2da5ffddb104b58a60f2862745960442,CoW Protocol: GPv2Settlement,2024-06-11 4:24:59,OUT
20065880,65294.934264339536,Curve.Fi USD...,0x582c4930,0xf55b0f6f2da5ffddb104b58a60f2862745960442,MEV Bot: 0x000...e49,2024-06-11 3:23:59,OUT
20065880,65190.67699388993,USDe,0x582c4930,0xf55b0f6f2da5ffddb104b58a60f2862745960442,MEV Bot: 0x000...e49,2024-06-11 3:23:59,IN
20065872,30511.60822630554,Curve.Fi USD...,Swap,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0x5AD09b26...2a387961F,2024-06-11 3:22:23,OUT
20065872,204167.02346139378,Curve.Fi USD...,Swap,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0x5AD09b26...2a387961F,2024-06-11 3:22:23,OUT
20065872,203800.68880431892,USDe,Swap,0xf55b0f6f2da5ffddb104b58a60f2862745960442,Uniswap V3: USDe-USDT 2,2024-06-11 3:22:23,IN
20065872,225403.96397970465,Curve.Fi USD...,0x22222222,0xf55b0f6f2da5ffddb104b58a60f2862745960442,MEV Bot: 0x249...0e0,2024-06-11 3:22:23,OUT
20065872,224937.58357807854,USDe,0x22222222,0xf55b0f6f2da5ffddb104b58a60f2862745960442,MEV Bot: 0x249...0e0,2024-06-11 3:22:23,IN
20065872,498946.930823221,USDe,Exchange,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xF0d4c12A...d26C58b8D,2024-06-11 3:22:23,OUT
20065871,91534.5933599628,Curve.Fi USD...,0x4f227108,0xf55b0f6f2da5ffddb104b58a60f2862745960442,MEV Bot: 0x000...e49,2024-06-11 3:22:11,OUT
20065871,91384.31980525248,USDe,0x4f227108,0xf55b0f6f2da5ffddb104b58a60f2862745960442,MEV Bot: 0x000...e49,2024-06-11 3:22:11,IN
20065870,499189.7955986427,USDe,Exchange,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xF0d4c12A...d26C58b8D,2024-06-11 3:21:59,OUT
20065805,130349.65320115064,Curve.Fi USD...,0x314cbce2,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xd5d10a1E...58752A350,2024-06-11 3:08:47,OUT
20065805,500617.5941631924,USDe,Exchange,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xF0d4c12A...d26C58b8D,2024-06-11 3:08:47,OUT
20065798,290.7015017970867,Curve.Fi USD...,Exchange,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xF0d4c12A...d26C58b8D,2024-06-11 3:07:23,OUT
20065779,10003.733127013778,Curve.Fi USD...,Swap Compact,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xC55Bcf53...a71E7785F,2024-06-11 3:03:35,OUT
20065681,58205.41332535165,Curve.Fi USD...,0x91227120,0xf55b0f6f2da5ffddb104b58a60f2862745960442,MEV Bot: 0x000...e49,2024-06-11 2:43:59,OUT
20065681,58157.72017680866,USDe,0x91227120,0xf55b0f6f2da5ffddb104b58a60f2862745960442,MEV Bot: 0x000...e49,2024-06-11 2:43:59,IN
20065606,31117.92466094449,Curve.Fi USD...,0x462bc320,0xf55b0f6f2da5ffddb104b58a60f2862745960442,MEV Bot: 0x000...e49,2024-06-11 2:28:59,OUT
20065606,31091.10394983926,USDe,0x462bc320,0xf55b0f6f2da5ffddb104b58a60f2862745960442,MEV Bot: 0x000...e49,2024-06-11 2:28:59,IN
20065606,53570.76682376135,Curve.Fi USD...,0x462bc320,0xf55b0f6f2da5ffddb104b58a60f2862745960442,MEV Bot: 0x000...e49,2024-06-11 2:28:59,OUT
20065606,53522.41332881548,USDe,0x462bc320,0xf55b0f6f2da5ffddb104b58a60f2862745960442,MEV Bot: 0x000...e49,2024-06-11 2:28:59,IN
20065549,219073.866346113,Curve.Fi USD...,Mega Swap,0xf55b0f6f2da5ffddb104b58a60f2862745960442,Paraswap v5: Augustus Swapper Mainnet,2024-06-11 2:17:35,OUT
20065549,218846.76,USDe,Mega Swap,0xf55b0f6f2da5ffddb104b58a60f2862745960442,Paraswap v5: Augustus Swapper Mainnet,2024-06-11 2:17:35,IN
20065513,350466.8147446135,Curve.Fi USD...,Swap,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xf081470f...409DcdD67,2024-06-11 2:10:23,OUT
20065430,6843.180045475713,USDe,0x0d05a151,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0x286774E8...AAF7DcF3E,2024-06-11 1:53:35,OUT
20064827,38786.90892980217,USDe,Multicall,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xf081470f...409DcdD67,2024-06-10 23:51:59,OUT
20064827,155111.2940032441,USDe,Multicall,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xf081470f...409DcdD67,2024-06-10 23:51:59,OUT
20064720,6949.3817738861335,USDe,0x0d05a151,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0x286774E8...AAF7DcF3E,2024-06-10 23:30:23,OUT
20064641,4819.413108560842,USDe,0x0d05a151,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0x286774E8...AAF7DcF3E,2024-06-10 23:14:35,OUT
20064618,35836.07369268846,USDe,0x6a2bc318,0xf55b0f6f2da5ffddb104b58a60f2862745960442,Uniswap V3: USDe-USDT 2,2024-06-10 23:09:59,OUT
20064618,35889.082203506,Curve.Fi USD...,0x6a2bc318,0xf55b0f6f2da5ffddb104b58a60f2862745960442,MEV Bot: 0x000...e49,2024-06-10 23:09:59,IN
20064576,23691.777012530973,USDe,Mint Sy From Token,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xf081470f...409DcdD67,2024-06-10 23:01:35,OUT
20064559,61405.96187717076,USDe,Mooo Z1089603480,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0xb2F72662...5b6adcaBB,2024-06-10 22:58:11,OUT
20064028,53903.18099731385,USDe,Mooo Z1089603480,0xf55b0f6f2da5ffddb104b58a60f2862745960442,0x5dc1BF6f...736fA0743,2024-06-10 21:10:35,OUT
20064028,53975.555965642474,Curve.Fi USD...,Mooo Z1089603480,0xf55b0f6f2da5ffddb104b58a60f2862745960442,CoW Protocol: GPv2Settlement,2024-06-10 21:10:35,IN
20063933,7758.54991868056,USDe,0xbd227120,0xf55b0f6f2da5ffddb104b58a60f2862745960442,Uniswap V3: USDe-wstETH,2024-06-10 20:51:35,OUT
20063933,7768.721120324252,Curve.Fi USD...,0xbd227120,0xf55b0f6f2da5ffddb104b58a60f2862745960442,MEV Bot: 0x000...e49,2024-06-10 20:51:35,IN
20063849,200112.557024334,Curve.Fi USD...,Swap Compact,0xf55b0f6f2da5ffddb104b58a60f2862745960442,Odos: Router V2,2024-06-10 20:34:47,OUT
20063849,199871.67319533956,USDe,Swap Compact,0xf55b0f6f2da5ffddb104b58a60f2862745960442,Uniswap V3: USDe-USDT 2,2024-06-10 20:34:47,IN
