Block,Value,Token Name,Additional Value,Highlight Target,Public Tag,Age,Transaction Type
20073137,1285734.2737358666,Dai Stableco...,Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xE37e799D...71457BD09,2024-06-12 3:43:11,OUT
20073035,1597.7783197736992,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xF0d4c12A...d26C58b8D,2024-06-12 3:22:35,OUT
20072793,285159.7749096333,Dai Stableco...,Swap Compact,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x28104d4F...d56F33f95,2024-06-12 2:34:11,OUT
20072287,509.76954784245095,Dai Stableco...,Remove_liquidity_one_coin,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,"Dai Stableco...(DAI)",2024-06-12 0:52:11,OUT
20071780,463821.037103059,Dai Stableco...,Mega Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Paraswap v5: Augustus Swapper Mainnet,2024-06-11 23:10:23,OUT
20071780,463624.6671731543,USDe,Mega Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Paraswap v5: Augustus Swapper Mainnet,2024-06-11 23:10:23,IN
20071251,119844.1011090797,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x8c5EC152...203920c66,2024-06-11 21:24:23,OUT
20071200,2557.000963976265,USDe,Remove_liquidity_one_coin,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x7F8d39F5...A184A0bF5,2024-06-11 21:13:59,OUT
20071035,118283.25204326863,Dai Stableco...,0x9b0af998,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Curve.fi: Swap Router,2024-06-11 20:40:59,OUT
20071035,118225.62372393324,USDe,0x9b0af998,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Curve.fi: Swap Router,2024-06-11 20:40:59,IN
20069851,102254.16106288164,Dai Stableco...,Unoswap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x5dEB8b6f...b506FF58b,2024-06-11 16:42:47,OUT
20069851,102200,USDe,Unoswap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,1inch Network : Aggregation Router V6,2024-06-11 16:42:47,IN
20069396,499807.0400939008,Dai Stableco...,Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xE37e799D...71457BD09,2024-06-11 15:11:11,OUT
20069390,199694.63532713943,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xdCfd7058...Cc9AE4b4D,2024-06-11 15:09:59,OUT
20069344,299573.1314888546,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xdCfd7058...Cc9AE4b4D,2024-06-11 15:00:47,OUT
20069336,499804.9577598977,Dai Stableco...,Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xE37e799D...71457BD09,2024-06-11 14:59:11,OUT
20069331,399405.97821643116,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xdCfd7058...Cc9AE4b4D,2024-06-11 14:58:11,OUT
20069320,399470.909963977,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xdCfd7058...Cc9AE4b4D,2024-06-11 14:55:47,OUT
20069306,499424.820649758,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xdCfd7058...Cc9AE4b4D,2024-06-11 14:52:59,OUT
20069300,528022.5128521066,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xdCfd7058...Cc9AE4b4D,2024-06-11 14:51:47,OUT
20069265,513962.2683932987,USDe,Mooo Z1089603480,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xb2F72662...5b6adcaBB,2024-06-11 14:44:47,OUT
20069203,40004.76545140702,USDe,Mooo Z1089603480,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,CoW Protocol: GPv2Settlement,2024-06-11 14:32:23,OUT
20069203,40032.34475752457,Dai Stableco...,Mooo Z1089603480,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Uniswap V3: WBTC-DAI,2024-06-11 14:32:23,IN
20069123,33440.70347418674,USDe,Multi Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Paraswap v5: Augustus Swapper Mainnet,2024-06-11 14:16:23,OUT
20069123,33463.34566965352,Dai Stableco...,Multi Swap,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Paraswap v5: Augustus Swapper Mainnet,2024-06-11 14:16:23,IN
20068798,118491.89285556856,Dai Stableco...,Rebalance Up,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x5bf10305...cFBb40234,2024-06-11 13:11:23,OUT
20068798,118504.97399681434,USDe,Rebalance Up,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,1inch Network : Aggregation Router V6,2024-06-11 13:11:23,IN
20068767,501431.19855181413,USDe,Mooo Z1089603480,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xb2F72662...5b6adcaBB,2024-06-11 13:05:11,OUT
20068108,6835.238407176667,USDe,Exchange,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0xB0a80C11...9ABBc65e6,2024-06-11 10:52:35,OUT
20067459,2133.4553194928303,USDe,0x83227120,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,Uniswap V3: USDe-wstETH,2024-06-11 8:41:23,OUT
20067459,2134.6109484920453,Dai Stableco...,0x83227120,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,MEV Bot: 0x000...e49,2024-06-11 8:41:23,IN
20067128,3998.965530798174,Dai Stableco...,Multicall,0xf36a4ba50c603204c3fc6d2da8b78a7b69cbc67d,0x88712e9F...5025913Fd,2024-06-11 7:34:59,OUT
