Block,Value,Token Name,Additional Value,Highlight Target,Public Tag,Age,Transaction Type
20072145,74807.45931930306,USDe,0xd12b290f,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,MEV Bot: 0x000...e49,2024-06-12 0:23:35,IN
20072070,211528.49904197437,Frax,0x2b78c63b,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,jaredfromsubway: MEV Bot,2024-06-12 0:08:23,OUT
20072070,210850.2788924197,USDe,0x2b78c63b,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,jaredfromsubway: MEV Bot,2024-06-12 0:08:23,IN
20071780,278920.96498662495,USDe,0x2bb0a0b8,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,jaredfromsubway: MEV Bot,2024-06-11 23:10:23,OUT
20071780,279876.07386804983,Frax,0x2bb0a0b8,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,jaredfromsubway: MEV Bot,2024-06-11 23:10:23,IN
20071780,697718.1588152325,Frax,Mega Swap,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,Paraswap v5: Augustus Swapper Mainnet,2024-06-11 23:10:23,OUT
20071780,695437.0007597315,USDe,Mega Swap,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,Paraswap v5: Augustus Swapper Mainnet,2024-06-11 23:10:23,IN
20071407,199709.48937977405,USDe,Exchange,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xF0d4c12A...d26C58b8D,2024-06-11 21:55:47,OUT
20070816,19246.31702803403,Frax,Exchange,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xF0d4c12A...d26C58b8D,2024-06-11 19:56:35,OUT
20070641,300656.30636342533,Frax,Swap Compact,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xcE6431D2...ED96F5CE7,2024-06-11 19:20:59,OUT
20069642,64746.835505567586,Frax,Multicall,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0x8Bde2Fc3...77CE39230,2024-06-11 16:00:35,OUT
20069632,469522.5932848007,Frax,Exec,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,MEV Bot: 0x3fa...fb6,2024-06-11 15:58:35,OUT
20069632,467852.94791908935,USDe,Exec,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,MEV Bot: 0x3fa...fb6,2024-06-11 15:58:35,IN
20069452,226481.35959739416,Frax,0x2bd0a0b8,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,jaredfromsubway: MEV Bot,2024-06-11 15:22:23,OUT
20069452,225645.0286955466,USDe,0x2bd0a0b8,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,jaredfromsubway: MEV Bot,2024-06-11 15:22:23,IN
20069449,1230995.1905548044,USDe,Exec Transaction,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,Odos: Router V2,2024-06-11 15:21:47,OUT
20069446,979336.7885762838,USDe,Mooo Z1089603480,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xb2F72662...5b6adcaBB,2024-06-11 15:21:11,OUT
20069265,165818.32114001564,USDe,Mooo Z1089603480,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xb2F72662...5b6adcaBB,2024-06-11 14:44:47,OUT
20068979,109036.8173747462,USDe,Mooo Z1089603480,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xb2F72662...5b6adcaBB,2024-06-11 13:47:35,OUT
20068468,399775.33291317977,USDe,Exchange,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xF0d4c12A...d26C58b8D,2024-06-11 12:05:11,OUT
20067874,50053.65269683682,USDe,Exchange,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xF0d4c12A...d26C58b8D,2024-06-11 10:05:23,OUT
20066628,99702.0910189069,USDe,Mooo Z1089603480,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xb2F72662...5b6adcaBB,2024-06-11 5:54:47,OUT
20066549,151730.6265146982,USDe,0xf5227108,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,Uniswap V3: USDe-USDT 2,2024-06-11 5:38:47,OUT
20066549,152164.6478276674,Frax,0xf5227108,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,MEV Bot: 0x000...e49,2024-06-11 5:38:47,IN
20066426,36220.22855901267,USDe,Mooo Z1089603480,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xb2F72662...5b6adcaBB,2024-06-11 5:14:11,OUT
20066306,399828.7089942119,USDe,Exec Transaction,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xE37e799D...71457BD09,2024-06-11 4:49:47,OUT
20066280,84571.6225436973,USDe,Mint Py From Token,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xf081470f...409DcdD67,2024-06-11 4:44:23,OUT
20066274,128744.27196667623,USDe,0xe2227108,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,Uniswap V3: USDe-USDT 2,2024-06-11 4:43:11,OUT
20066274,129086.55317018442,Frax,0xe2227108,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,MEV Bot: 0x000...e49,2024-06-11 4:43:11,IN
20066273,82703.33672901845,USDe,Add Liquidity Single Token Keep Yt,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xf081470f...409DcdD67,2024-06-11 4:42:59,OUT
20066272,130978.67930567161,USDe,0x22222222,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,MEV Bot: 0x249...0e0,2024-06-11 4:42:47,OUT
20066272,131318.67502661134,Frax,0x22222222,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,MEV Bot: 0x249...0e0,2024-06-11 4:42:47,IN
20066250,420639.39600952814,USDe,0x22222222,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,MEV Bot: 0x249...0e0,2024-06-11 4:38:11,OUT
20066250,421697.685866262,Frax,0x22222222,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,MEV Bot: 0x249...0e0,2024-06-11 4:38:11,IN
20066193,54863.78200905977,USDe,0x00000000,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,MEV Bot: 0x000...248,2024-06-11 4:26:47,OUT
20066193,54998.090012153465,Frax,0x00000000,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,MEV Bot: 0x000...248,2024-06-11 4:26:47,IN
20066184,29747.166130525406,USDe,Mooo Z1089603480,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xF55B0f6F...745960442,2024-06-11 4:24:59,OUT
20066129,3922.8557663381557,USDe,0x512bc320,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,Uniswap V3: USDe-USDT 2,2024-06-11 4:13:47,OUT
20066129,3932.393612660028,Frax,0x512bc320,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,MEV Bot: 0x000...e49,2024-06-11 4:13:47,IN
20066024,23228.077252399293,USDe,Swap Compact,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0x28104d4F...d56F33f95,2024-06-11 3:52:47,OUT
20065880,27085.364381282405,USDe,0x582c4930,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,Uniswap V3: USDe-USDT 2,2024-06-11 3:23:59,OUT
20065880,27150.92376540179,Frax,0x582c4930,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,MEV Bot: 0x000...e49,2024-06-11 3:23:59,IN
20065880,65190.67699388993,USDe,0x582c4930,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,MEV Bot: 0x000...e49,2024-06-11 3:23:59,OUT
20065880,65347.626990565026,Frax,0x582c4930,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,MEV Bot: 0x000...e49,2024-06-11 3:23:59,IN
20065872,30461.185684564934,USDe,Swap,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xF55B0f6F...745960442,2024-06-11 3:22:23,OUT
20065872,30534.115794910827,Frax,Swap,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,Uniswap V3: FRAX-USDC 3,2024-06-11 3:22:23,IN
20065872,224937.58357807854,USDe,0x22222222,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,MEV Bot: 0x249...0e0,2024-06-11 3:22:23,OUT
20065872,225468.1669664551,Frax,0x22222222,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,MEV Bot: 0x249...0e0,2024-06-11 3:22:23,IN
20065872,500037.5166870498,Frax,Exchange,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xF0d4c12A...d26C58b8D,2024-06-11 3:22:23,OUT
20065870,500351.06196331803,Frax,Exchange,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xF0d4c12A...d26C58b8D,2024-06-11 3:21:59,OUT
20065805,130191.57809601213,USDe,0x314cbce2,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xd5d10a1E...58752A350,2024-06-11 3:08:47,OUT
20065805,501835.94831483107,Frax,Exchange,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xF0d4c12A...d26C58b8D,2024-06-11 3:08:47,OUT
20065800,329825.578529308,Frax,Mint Py From Token,0x5dc1bf6f1e983c0b21efb003c105133736fa0743,0xf081470f...409DcdD67,2024-06-11 3:07:47,OUT
