Block,Value,Token Name,Additional Value,Highlight Target,Public Tag,Age,Transaction Type
20102270,874.27652308124,Gho Token,Exec With Sig,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0xF0d4c12A...d26C58b8D,2024-06-16 5:30:23,OUT
20102070,26273.102632828468,USDe,0xb6227108,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,Uniswap V3: USDe-USDT 2,2024-06-16 4:50:11,OUT
20102070,26313.91435554784,Gho Token,0xb6227108,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,MEV Bot: 0x000...e49,2024-06-16 4:50:11,IN
20101308,50.29748890475788,USDe,Remove_liquidity_one_coin,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0x325429C0...17B9cA564,2024-06-16 2:17:11,OUT
20098953,26616.126082869694,USDe,0x89227108,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,Uniswap V3: USDe-USDT 2,2024-06-15 18:22:11,OUT
20098953,26654.91272338772,Gho Token,0x89227108,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,MEV Bot: 0x000...e49,2024-06-15 18:22:11,IN
20098291,52658.60166118843,USDe,0x2b2c3a6b,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,jaredfromsubway: MEV Bot,2024-06-15 16:09:11,OUT
20098291,52727.65270046945,Gho Token,0x2b2c3a6b,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,jaredfromsubway: MEV Bot,2024-06-15 16:09:11,IN
20097209,532.6696749088335,USDe,Swap Multi Compact,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,Odos: Router V2,2024-06-15 12:31:35,OUT
20096668,149931.38652158636,Gho Token,Exchange,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,0xF0d4c12A...d26C58b8D,2024-06-15 10:42:47,OUT
20091476,177254.66699610333,Gho Token,Exec,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,MEV Bot: 0x3fa...fb6,2024-06-14 17:15:35,OUT
20091476,177025.17235053427,USDe,Exec,0x670a72e6d22b0956c0d2573288f82dcc5d6e3a61,MEV Bot: 0x3fa...fb6,2024-06-14 17:15:35,IN
