Block,Value,Token Name,Additional Value,Highlight Target,Public Tag,Age,Transaction Type
20071960,99938.6957169348,USDe,Swap Exact Token For Pt,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0xf081470f...409DcdD67,2024-06-11 23:46:23,OUT
20071899,22.64583832602005,USDe,Exchange,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0x065963DF...1Aa060f20,2024-06-11 23:34:11,OUT
20071786,25115.1324021754,USDe,Exchange,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0x6D7Ac63A...61dCF688f,2024-06-11 23:11:35,OUT
20071780,850542.744422,USDC,Mega Swap,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,Paraswap v5: Augustus Swapper Mainnet,2024-06-11 23:10:23,OUT
20071780,850009.4647952612,USDe,Mega Swap,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,Paraswap v5: Augustus Swapper Mainnet,2024-06-11 23:10:23,IN
20071739,299991.017252,USDC,Swap,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0xE37e799D...71457BD09,2024-06-11 23:02:11,OUT
20071736,220530.486025,USDC,I Bribe2Much Z7650399733,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,MEV Bot: 0x645...bfa,2024-06-11 23:01:35,OUT
20071736,220276.29983718885,USDe,I Bribe2Much Z7650399733,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,MEV Bot: 0x645...bfa,2024-06-11 23:01:35,IN
20071735,488571.6605053011,USDe,0x2bb0f939,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,jaredfromsubway: MEV Bot,2024-06-11 23:01:23,OUT
20071735,489192.037376,USDC,0x2bb0f939,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,jaredfromsubway: MEV Bot,2024-06-11 23:01:23,IN
20071734,199991.367397,USDC,Swap,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0xE37e799D...71457BD09,2024-06-11 23:01:11,OUT
20071733,305855.146304,USDC,I Bribe2Much Z7650399733,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,MEV Bot: 0x645...bfa,2024-06-11 23:00:59,OUT
20071733,305507.7330566543,USDe,I Bribe2Much Z7650399733,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,MEV Bot: 0x645...bfa,2024-06-11 23:00:59,IN
20071732,233187.776596,USDC,Swap,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0x5AD09b26...2a387961F,2024-06-11 23:00:47,OUT
20071732,232881.71514605175,USDe,Swap,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,Uniswap V3: USDe-USDT 2,2024-06-11 23:00:47,IN
20071732,185624.974771,USDC,0x34227108,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0x04c85779...bc6E42D8f,2024-06-11 23:00:47,OUT
20071732,185355.28777018658,USDe,0x34227108,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,MEV Bot: 0x000...e49,2024-06-11 23:00:47,IN
20071731,768055.8038254254,USDe,Add Liquidity Single Token,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0xf081470f...409DcdD67,2024-06-11 23:00:35,OUT
20071505,499.394833754426,USDe,Exchange,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0x1f082C7a...562220aa6,2024-06-11 22:15:23,OUT
20071493,299.63697703038434,USDe,Exchange,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0x1f082C7a...562220aa6,2024-06-11 22:12:59,OUT
20071370,124936.98021438214,USDe,Exchange,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0xC12E2672...4bE81c1cc,2024-06-11 21:48:23,OUT
20071206,603.925132,USDC,Exchange,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0x3906e62f...7179C5209,2024-06-11 21:15:11,OUT
20071109,79.9094905430792,USDe,Exchange,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0x7bE6f8Fd...8F3b32037,2024-06-11 20:55:47,OUT
20071052,324480.9673006963,USDe,Mooo Z1089603480,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0xb2F72662...5b6adcaBB,2024-06-11 20:44:23,OUT
20070756,59257.98624747447,USDe,Swap Exact Token For Pt,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0xf081470f...409DcdD67,2024-06-11 19:44:35,OUT
20070693,29293.99145,USDC,Multicall,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0xf081470f...409DcdD67,2024-06-11 19:31:47,OUT
20070638,3996.368995671202,USDe,Exchange,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0x3f84cB04...835A4cce7,2024-06-11 19:20:23,OUT
20070612,34449.862587,USDC,Multicall,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0xf081470f...409DcdD67,2024-06-11 19:15:11,OUT
20070598,19182.299054909585,USDe,Exchange,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0xF0d4c12A...d26C58b8D,2024-06-11 19:12:23,OUT
20070436,9990.871325503915,USDe,Exchange,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0xAD8390b4...dc3aCBCEc,2024-06-11 18:39:59,OUT
20070357,245.867724639257,USDe,Exchange,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0xc6Ba880E...9b893f1B1,2024-06-11 18:24:11,OUT
20070296,138523.02739078237,USDe,Swap Exact Token For Pt,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0xf081470f...409DcdD67,2024-06-11 18:11:59,OUT
20070185,36837.83305483703,USDe,Exchange,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0x90e5564c...f470AA801,2024-06-11 17:49:47,OUT
20070077,299894.819353,USDC,Swap,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0xE37e799D...71457BD09,2024-06-11 17:28:11,OUT
20070076,223754.3436728643,USDe,Exec Transaction,0x02950460e2b9529d0e00284a5fa2d7bdf3fa4d72,0xb2F72662...5b6adcaBB,2024-06-11 17:27:59,OUT
